CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0112,0.9777022847385629
C0001,C0192,0.9738301847538342
C0001,C0118,0.9719662355931018
C0002,C0134,0.9906306629423273
C0002,C0159,0.9782810619553673
C0002,C0106,0.9767053864551412
C0003,C0031,0.9928634472839012
C0003,C0129,0.985855056997588
C0003,C0158,0.9728499010453681
C0004,C0113,0.9852261895312798
C0004,C0104,0.971398620284676
C0004,C0174,0.960388855440918
C0005,C0007,0.9958715389311564
C0005,C0140,0.9562347111063093
C0005,C0186,0.9489225597392272
C0006,C0187,0.9796656598525515
C0006,C0085,0.949444242005508
C0006,C0169,0.9491213379183246
C0007,C0005,0.9958715389311564
C0007,C0140,0.9657244296147696
C0007,C0159,0.9468182126418745
C0008,C0098,0.954290123066155
C0008,C0194,0.9523892122782781
C0008,C0059,0.9468919213182445
C0009,C0062,0.9573339232479624
C0009,C0010,0.9571595459446749
C0009,C0061,0.9405875532568317
C0010,C0061,0.9733321235992181
C0010,C0062,0.969157784683701
C0010,C0009,0.9571595459446749
C0011,C0174,0.9810675934064492
C0011,C0153,0.9791893830101381
C0011,C0169,0.9723926023474115
C0012,C0039,0.9506034131784735
C0012,C0187,0.9493243026936005
C0012,C0052,0.9481446164598446
C0013,C0048,0.9497208555870666
C0013,C0087,0.9446475299098269
C0013,C0190,0.944522477658215
C0014,C0167,0.9025208647040261
C0014,C0063,0.8917005840685872
C0014,C0009,0.8729566563972693
C0015,C0036,0.9634578457609507
C0015,C0058,0.9451341276020537
C0015,C0131,0.9411882059562106
C0016,C0183,0.9999202503880769
C0016,C0067,0.9843428068564374
C0016,C0026,0.9657610432394254
C0017,C0075,0.9890171780642618
C0017,C0081,0.9812624297600444
C0017,C0041,0.9780335597577134
C0018,C0035,0.9722424645832071
C0018,C0117,0.9683358110733489
C0018,C0050,0.9602284433776446
C0019,C0121,0.9508011340508794
C0019,C0023,0.9448005384176603
C0019,C0070,0.94108605921458
C0020,C0050,0.9570655477814096
C0020,C0144,0.9408794669513032
C0020,C0026,0.9289020902162675
C0021,C0101,0.9850578970269496
C0021,C0090,0.9795965749583505
C0021,C0173,0.9711974650541958
C0022,C0056,0.9831029209129853
C0022,C0143,0.9818626817758983
C0022,C0200,0.9818078306219142
C0023,C0070,0.9681832236678289
C0023,C0019,0.9448005384176603
C0023,C0075,0.9375988818330936
C0024,C0194,0.9795444375397386
C0024,C0116,0.9792383416488353
